Strategy,Scenario,TickRate,Seed,StepTimeNs,Stability,LeftWingHealth,EngineHealth,WingSevered
E_Vectorized_Projectiles,pilot_sniping,20,0,296.50,1,1.0000,1.0000,0
E_Vectorized_Projectiles,pilot_sniping,20,1,287.59,1,1.0000,1.0000,0
E_Vectorized_Projectiles,pilot_sniping,20,2,291.20,1,1.0000,1.0000,0
E_Vectorized_Projectiles,pilot_sniping,20,3,290.42,1,1.0000,1.0000,0
E_Vectorized_Projectiles,pilot_sniping,20,4,306.45,1,1.0000,1.0000,0
A_SpheroidHitboxes_Euler,direct_wing_hit,60,0,104.37,1,1.0000,1.0000,0
A_SpheroidHitboxes_Euler,direct_wing_hit,60,1,102.85,1,1.0000,1.0000,0
A_SpheroidHitboxes_Euler,direct_wing_hit,60,2,102.33,1,1.0000,1.0000,0
A_SpheroidHitboxes_Euler,direct_wing_hit,60,3,110.90,1,1.0000,1.0000,0
A_SpheroidHitboxes_Euler,direct_wing_hit,60,4,104.38,1,1.0000,1.0000,0
A_SpheroidHitboxes_Euler,engine_fire_cascade,60,0,105.00,1,1.0000,1.0000,0
A_SpheroidHitboxes_Euler,engine_fire_cascade,60,1,104.33,1,1.0000,1.0000,0
A_SpheroidHitboxes_Euler,engine_fire_cascade,60,2,100.98,1,1.0000,1.0000,0
A_SpheroidHitboxes_Euler,engine_fire_cascade,60,3,101.08,1,1.0000,1.0000,0
A_SpheroidHitboxes_Euler,engine_fire_cascade,60,4,100.75,1,1.0000,1.0000,0
A_SpheroidHitboxes_Euler,high_g_maneuver_snapping,60,0,103.77,1,1.0000,1.0000,0
A_SpheroidHitboxes_Euler,high_g_maneuver_snapping,60,1,104.23,1,1.0000,1.0000,0
A_SpheroidHitboxes_Euler,high_g_maneuver_snapping,60,2,100.88,1,1.0000,1.0000,0
A_SpheroidHitboxes_Euler,high_g_maneuver_snapping,60,3,101.13,1,1.0000,1.0000,0
A_SpheroidHitboxes_Euler,high_g_maneuver_snapping,60,4,101.08,1,1.0000,1.0000,0
A_SpheroidHitboxes_Euler,hydraulics_failure,60,0,102.22,1,1.0000,1.0000,0
A_SpheroidHitboxes_Euler,hydraulics_failure,60,1,101.93,1,1.0000,1.0000,0
A_SpheroidHitboxes_Euler,hydraulics_failure,60,2,111.95,1,1.0000,1.0000,0
A_SpheroidHitboxes_Euler,hydraulics_failure,60,3,102.35,1,1.0000,1.0000,0
A_SpheroidHitboxes_Euler,hydraulics_failure,60,4,102.42,1,1.0000,1.0000,0
A_SpheroidHitboxes_Euler,pilot_sniping,60,0,102.48,1,1.0000,1.0000,0
A_SpheroidHitboxes_Euler,pilot_sniping,60,1,102.08,1,1.0000,1.0000,0
A_SpheroidHitboxes_Euler,pilot_sniping,60,2,102.58,1,1.0000,1.0000,0
A_SpheroidHitboxes_Euler,pilot_sniping,60,3,102.42,1,1.0000,1.0000,0
A_SpheroidHitboxes_Euler,pilot_sniping,60,4,101.90,1,1.0000,1.0000,0
B_OBBHitboxes_Euler,direct_wing_hit,60,0,102.75,1,1.0000,1.0000,0
B_OBBHitboxes_Euler,direct_wing_hit,60,1,102.68,1,1.0000,1.0000,0
B_OBBHitboxes_Euler,direct_wing_hit,60,2,102.63,1,1.0000,1.0000,0
B_OBBHitboxes_Euler,direct_wing_hit,60,3,102.67,1,1.0000,1.0000,0
B_OBBHitboxes_Euler,direct_wing_hit,60,4,102.77,1,1.0000,1.0000,0
B_OBBHitboxes_Euler,engine_fire_cascade,60,0,104.62,1,1.0000,1.0000,0
B_OBBHitboxes_Euler,engine_fire_cascade,60,1,101.68,1,1.0000,1.0000,0
B_OBBHitboxes_Euler,engine_fire_cascade,60,2,102.47,1,1.0000,1.0000,0
B_OBBHitboxes_Euler,engine_fire_cascade,60,3,102.57,1,1.0000,1.0000,0
B_OBBHitboxes_Euler,engine_fire_cascade,60,4,105.97,1,1.0000,1.0000,0
B_OBBHitboxes_Euler,high_g_maneuver_snapping,60,0,105.40,1,1.0000,1.0000,0
B_OBBHitboxes_Euler,high_g_maneuver_snapping,60,1,101.67,1,1.0000,1.0000,0
