2026-06-21-electronic-warfare-jamming — prototype benchmark
C++26 CPU analytical model; Clang -O3 -march=native target
5 strategies x 5 scenes x 5 seeds x 1000 iter = 125,000 main measurements

[D_DeceptionDRFM] [air_defense_battery_3r1j] seed=5: wall=113.7 ns, det=15.0%, comms=0.9%, bt=154 m, pwr=30.00 W, ft=16864.0
[D_DeceptionDRFM] [strike_package_5a3j_escort] seed=1: wall=231.3 ns, det=15.0%, comms=0.1%, bt=63 m, pwr=75.00 W, ft=2934743.0
[D_DeceptionDRFM] [strike_package_5a3j_escort] seed=2: wall=252.9 ns, det=15.0%, comms=0.1%, bt=63 m, pwr=75.00 W, ft=2733390.0
[D_DeceptionDRFM] [strike_package_5a3j_escort] seed=3: wall=224.7 ns, det=15.0%, comms=0.1%, bt=63 m, pwr=75.00 W, ft=2825221.0
[D_DeceptionDRFM] [strike_package_5a3j_escort] seed=4: wall=304.6 ns, det=15.0%, comms=0.1%, bt=63 m, pwr=75.00 W, ft=2846729.0
[D_DeceptionDRFM] [strike_package_5a3j_escort] seed=5: wall=230.0 ns, det=15.0%, comms=0.1%, bt=63 m, pwr=75.00 W, ft=3030378.0
[D_DeceptionDRFM] [ground_force_defense_10j5r] seed=1: wall=931.2 ns, det=15.0%, comms=2.1%, bt=81 m, pwr=100.00 W, ft=501863.0
[D_DeceptionDRFM] [ground_force_defense_10j5r] seed=2: wall=703.0 ns, det=15.0%, comms=2.6%, bt=81 m, pwr=100.00 W, ft=425549.0
[D_DeceptionDRFM] [ground_force_defense_10j5r] seed=3: wall=642.1 ns, det=15.0%, comms=4.0%, bt=81 m, pwr=100.00 W, ft=404295.0
[D_DeceptionDRFM] [ground_force_defense_10j5r] seed=4: wall=649.2 ns, det=15.0%, comms=3.7%, bt=81 m, pwr=100.00 W, ft=522592.0
[D_DeceptionDRFM] [ground_force_defense_10j5r] seed=5: wall=686.9 ns, det=15.0%, comms=2.2%, bt=81 m, pwr=100.00 W, ft=525031.0
[D_DeceptionDRFM] [ew_duel_2j2r_freq_agile] seed=1: wall=146.6 ns, det=15.0%, comms=0.0%, bt=69 m, pwr=32.00 W, ft=2424807.0
[D_DeceptionDRFM] [ew_duel_2j2r_freq_agile] seed=2: wall=145.9 ns, det=15.0%, comms=0.1%, bt=69 m, pwr=32.00 W, ft=2144299.0
[D_DeceptionDRFM] [ew_duel_2j2r_freq_agile] seed=3: wall=147.0 ns, det=15.0%, comms=0.1%, bt=69 m, pwr=32.00 W, ft=1883207.0
[D_DeceptionDRFM] [ew_duel_2j2r_freq_agile] seed=4: wall=176.1 ns, det=15.0%, comms=0.1%, bt=69 m, pwr=32.00 W, ft=3370203.0
[D_DeceptionDRFM] [ew_duel_2j2r_freq_agile] seed=5: wall=161.8 ns, det=15.0%, comms=0.0%, bt=69 m, pwr=32.00 W, ft=3674770.0
[E_HybridBarrageDeception] [small_engagement_5v5] seed=1: wall=353.5 ns, det=15.0%, comms=2.6%, bt=129 m, pwr=25.00 W, ft=263684.0
[E_HybridBarrageDeception] [small_engagement_5v5] seed=2: wall=348.9 ns, det=15.0%, comms=2.0%, bt=129 m, pwr=25.00 W, ft=731839.0
[E_HybridBarrageDeception] [small_engagement_5v5] seed=3: wall=391.6 ns, det=15.0%, comms=0.8%, bt=129 m, pwr=25.00 W, ft=403535.0
[E_HybridBarrageDeception] [small_engagement_5v5] seed=4: wall=378.0 ns, det=15.0%, comms=0.8%, bt=129 m, pwr=25.00 W, ft=434854.0
[E_HybridBarrageDeception] [small_engagement_5v5] seed=5: wall=344.3 ns, det=15.0%, comms=1.0%, bt=129 m, pwr=25.00 W, ft=385707.0
[E_HybridBarrageDeception] [air_defense_battery_3r1j] seed=1: wall=94.0 ns, det=15.0%, comms=2.2%, bt=145 m, pwr=30.00 W, ft=18488.0
[E_HybridBarrageDeception] [air_defense_battery_3r1j] seed=2: wall=97.6 ns, det=15.0%, comms=2.1%, bt=145 m, pwr=30.00 W, ft=19132.0
[E_HybridBarrageDeception] [air_defense_battery_3r1j] seed=3: wall=95.7 ns, det=15.0%, comms=2.1%, bt=145 m, pwr=30.00 W, ft=18814.0
[E_HybridBarrageDeception] [air_defense_battery_3r1j] seed=4: wall=139.3 ns, det=15.0%, comms=2.2%, bt=145 m, pwr=30.00 W, ft=18552.0
[E_HybridBarrageDeception] [air_defense_battery_3r1j] seed=5: wall=104.6 ns, det=15.0%, comms=2.1%, bt=145 m, pwr=30.00 W, ft=18713.0
[E_HybridBarrageDeception] [strike_package_5a3j_escort] seed=1: wall=272.4 ns, det=15.0%, comms=0.3%, bt=71 m, pwr=75.00 W, ft=2616840.0
[E_HybridBarrageDeception] [strike_package_5a3j_escort] seed=2: wall=232.6 ns, det=15.0%, comms=0.3%, bt=71 m, pwr=75.00 W, ft=2680697.0
