strategy,scene,seed,num_units,ticks,mean_ns_per_unit_per_tick,median_ns_per_unit_per_tick,p95_ns_per_unit_per_tick,p99_ns_per_unit_per_tick,std_ns_per_unit_per_tick,total_ms,total_decisions
D_EventDriven,urban_clear,31337,64,800,236.334,235.572,251.425,255.674,7.85896,14.641,51200
D_EventDriven,combined_arms,1,256,400,191.002,189.998,210.975,247.525,15.0331,24.8273,102400
D_EventDriven,combined_arms,7,256,400,175.264,174.85,196.945,203.3,11.9711,22.7382,102400
D_EventDriven,combined_arms,42,256,400,175.91,175.445,196.3,206.373,11.6376,22.8183,102400
D_EventDriven,combined_arms,1234,256,400,179.127,180.1,198.975,213.222,12.7827,23.2901,102400
D_EventDriven,combined_arms,31337,256,400,176.062,176,197,206.298,12.3794,22.8657,102400
E_Blackboard,recon_patrol,1,8,1500,256.009,255.665,264.799,264.799,3.69327,3.61578,12000
E_Blackboard,recon_patrol,7,8,1500,260.096,260.899,264.79,264.79,3.74064,3.70663,12000
E_Blackboard,recon_patrol,42,8,1500,259.565,261.659,265.357,265.357,4.31353,3.69201,12000
E_Blackboard,recon_patrol,1234,8,1500,255.205,257.525,261.447,261.447,5.78316,3.6082,12000
E_Blackboard,recon_patrol,31337,8,1500,255.875,257.626,263.251,263.251,5.23255,3.61849,12000
E_Blackboard,platoon_attack,1,32,1000,241.605,242.289,250.619,253.448,5.29845,9.19694,32000
E_Blackboard,platoon_attack,7,32,1000,240.506,240.879,250.339,251.735,6.3249,9.12873,32000
E_Blackboard,platoon_attack,42,32,1000,245.554,246.418,256.908,256.98,6.18901,9.35095,32000
E_Blackboard,platoon_attack,1234,32,1000,241.512,243.118,250.119,257.75,5.90587,9.17779,32000
E_Blackboard,platoon_attack,31337,32,1000,245.82,245.559,258.019,258.229,6.11224,9.37604,32000
E_Blackboard,company_advance,1,128,600,216.811,216.548,233.25,242.297,9.58681,20.264,76800
E_Blackboard,company_advance,7,128,600,216.681,216.533,229.517,235.198,7.87597,20.2314,76800
E_Blackboard,company_advance,42,128,600,216.93,216.917,231.998,236.05,8.64059,20.2209,76800
E_Blackboard,company_advance,1234,128,600,219.842,220.117,235.797,245.548,9.79669,20.5823,76800
E_Blackboard,company_advance,31337,128,600,220.765,221.2,233.5,242.217,8.7369,20.6067,76800
E_Blackboard,urban_clear,1,64,800,235.392,235.56,250.236,259.161,7.63984,14.4568,51200
E_Blackboard,urban_clear,7,64,800,232.158,232.425,244.224,245.45,6.56301,14.2229,51200
E_Blackboard,urban_clear,42,64,800,232.396,231.285,243.785,248.463,6.55862,14.2173,51200
E_Blackboard,urban_clear,1234,64,800,235.808,234.963,249.299,262.349,8.81119,14.5052,51200
E_Blackboard,urban_clear,31337,64,800,233.54,233.072,245.062,253.449,7.05302,14.3511,51200
E_Blackboard,combined_arms,1,256,400,182.137,182.7,200.947,212.425,12.3612,23.5115,102400
E_Blackboard,combined_arms,7,256,400,203.01,202.898,227.22,236.972,13.7612,26.3593,102400
E_Blackboard,combined_arms,42,256,400,198.016,197.7,219.5,236.875,13.3842,25.7004,102400
E_Blackboard,combined_arms,1234,256,400,189.319,189.325,210.197,218.673,12.9116,24.6357,102400
E_Blackboard,combined_arms,31337,256,400,179.813,179.998,201.575,213.175,13.0824,23.1989,102400
