strategy,scene,seed,iter,op,us,bytes,ok
B_ChunkedBinary_Raw,medium_world,7,0,mutate_save_0,4683.01,1068360,1
B_ChunkedBinary_Raw,medium_world,7,0,delta_load,654.48,1068360,1
C_ChunkedBinary_Zstd,medium_world,7,0,save,5568.64,710281,1
C_ChunkedBinary_Zstd,medium_world,7,0,load,1877.39,710281,1
C_ChunkedBinary_Zstd,medium_world,7,0,verify,27.75,0,1
C_ChunkedBinary_Zstd,medium_world,7,0,mutate_save_0,9853.04,710281,1
C_ChunkedBinary_Zstd,medium_world,7,0,delta_load,2392.62,710281,1
D_VersionedChunked_Delta_LZ4,medium_world,7,0,save,4697.30,705926,1
D_VersionedChunked_Delta_LZ4,medium_world,7,0,load,1997.17,705926,1
D_VersionedChunked_Delta_LZ4,medium_world,7,0,verify,32.56,0,1
D_VersionedChunked_Delta_LZ4,medium_world,7,0,mutate_save_0,8290.99,705926,1
D_VersionedChunked_Delta_LZ4,medium_world,7,0,delta_load,2076.11,705926,1
E_ContentAddressed_Dedupe,medium_world,7,0,save,26880.35,52372,1
E_ContentAddressed_Dedupe,medium_world,7,0,load,7922.06,52372,1
E_ContentAddressed_Dedupe,medium_world,7,0,verify,40.42,0,1
E_ContentAddressed_Dedupe,medium_world,7,0,mutate_save_0,2631.57,52372,1
E_ContentAddressed_Dedupe,medium_world,7,0,delta_load,6626.15,52372,1
A_FullJSON_SingleFile,medium_world,42,0,save,12756.68,1529902,1
A_FullJSON_SingleFile,medium_world,42,0,load,3907.26,1529902,1
A_FullJSON_SingleFile,medium_world,42,0,verify,28.10,0,1
A_FullJSON_SingleFile,medium_world,42,0,mutate_save_0,15989.67,1529902,1
A_FullJSON_SingleFile,medium_world,42,0,delta_load,2755.92,1529902,1
B_ChunkedBinary_Raw,medium_world,42,0,save,1338.42,1068360,1
B_ChunkedBinary_Raw,medium_world,42,0,load,219.20,1068360,1
B_ChunkedBinary_Raw,medium_world,42,0,verify,33.90,0,1
B_ChunkedBinary_Raw,medium_world,42,0,mutate_save_0,4708.81,1068360,1
B_ChunkedBinary_Raw,medium_world,42,0,delta_load,756.32,1068360,1
C_ChunkedBinary_Zstd,medium_world,42,0,save,5122.28,708471,1
C_ChunkedBinary_Zstd,medium_world,42,0,load,1985.20,708471,1
C_ChunkedBinary_Zstd,medium_world,42,0,verify,31.52,0,1
C_ChunkedBinary_Zstd,medium_world,42,0,mutate_save_0,10507.47,708471,1
C_ChunkedBinary_Zstd,medium_world,42,0,delta_load,2318.74,708471,1
D_VersionedChunked_Delta_LZ4,medium_world,42,0,save,4715.35,704083,1
D_VersionedChunked_Delta_LZ4,medium_world,42,0,load,1845.76,704083,1
D_VersionedChunked_Delta_LZ4,medium_world,42,0,verify,45.72,0,1
D_VersionedChunked_Delta_LZ4,medium_world,42,0,mutate_save_0,7879.90,704083,1
D_VersionedChunked_Delta_LZ4,medium_world,42,0,delta_load,1978.72,704083,1
E_ContentAddressed_Dedupe,medium_world,42,0,save,23798.09,52372,1
E_ContentAddressed_Dedupe,medium_world,42,0,load,8695.17,52372,1
E_ContentAddressed_Dedupe,medium_world,42,0,verify,38.53,0,1
E_ContentAddressed_Dedupe,medium_world,42,0,mutate_save_0,2675.02,52372,1
E_ContentAddressed_Dedupe,medium_world,42,0,delta_load,6662.14,52372,1
A_FullJSON_SingleFile,medium_world,1234,0,save,13121.22,1530957,1
A_FullJSON_SingleFile,medium_world,1234,0,load,3930.19,1530957,1
A_FullJSON_SingleFile,medium_world,1234,0,verify,27.76,0,1
A_FullJSON_SingleFile,medium_world,1234,0,mutate_save_0,15358.33,1530957,1
A_FullJSON_SingleFile,medium_world,1234,0,delta_load,3353.35,1530957,1
B_ChunkedBinary_Raw,medium_world,1234,0,save,1390.53,1068360,1
B_ChunkedBinary_Raw,medium_world,1234,0,load,259.51,1068360,1
B_ChunkedBinary_Raw,medium_world,1234,0,verify,31.07,0,1
B_ChunkedBinary_Raw,medium_world,1234,0,mutate_save_0,4175.88,1068360,1
B_ChunkedBinary_Raw,medium_world,1234,0,delta_load,711.11,1068360,1
C_ChunkedBinary_Zstd,medium_world,1234,0,save,5052.93,709380,1
C_ChunkedBinary_Zstd,medium_world,1234,0,load,1861.87,709380,1
C_ChunkedBinary_Zstd,medium_world,1234,0,verify,33.56,0,1
C_ChunkedBinary_Zstd,medium_world,1234,0,mutate_save_0,8278.34,709380,1
C_ChunkedBinary_Zstd,medium_world,1234,0,delta_load,1931.63,709380,1
D_VersionedChunked_Delta_LZ4,medium_world,1234,0,save,4813.38,704674,1
D_VersionedChunked_Delta_LZ4,medium_world,1234,0,load,1781.08,704674,1
D_VersionedChunked_Delta_LZ4,medium_world,1234,0,verify,27.98,0,1
D_VersionedChunked_Delta_LZ4,medium_world,1234,0,mutate_save_0,7678.83,704674,1
D_VersionedChunked_Delta_LZ4,medium_world,1234,0,delta_load,1837.07,704674,1
E_ContentAddressed_Dedupe,medium_world,1234,0,save,23991.43,52372,1
E_ContentAddressed_Dedupe,medium_world,1234,0,load,9875.19,52372,1
E_ContentAddressed_Dedupe,medium_world,1234,0,verify,49.05,0,1
E_ContentAddressed_Dedupe,medium_world,1234,0,mutate_save_0,2899.99,52372,1
E_ContentAddressed_Dedupe,medium_world,1234,0,delta_load,6592.32,52372,1
A_FullJSON_SingleFile,medium_world,31337,0,save,14366.58,1532422,1
A_FullJSON_SingleFile,medium_world,31337,0,load,4436.06,1532422,1
A_FullJSON_SingleFile,medium_world,31337,0,verify,34.98,0,1
A_FullJSON_SingleFile,medium_world,31337,0,mutate_save_0,16512.20,1532422,1
A_FullJSON_SingleFile,medium_world,31337,0,delta_load,3311.45,1532422,1
B_ChunkedBinary_Raw,medium_world,31337,0,save,1177.52,1068360,1
B_ChunkedBinary_Raw,medium_world,31337,0,load,209.44,1068360,1
B_ChunkedBinary_Raw,medium_world,31337,0,verify,28.56,0,1
B_ChunkedBinary_Raw,medium_world,31337,0,mutate_save_0,4265.90,1068360,1
B_ChunkedBinary_Raw,medium_world,31337,0,delta_load,605.52,1068360,1
C_ChunkedBinary_Zstd,medium_world,31337,0,save,5231.60,710151,1
C_ChunkedBinary_Zstd,medium_world,31337,0,load,1814.44,710151,1
C_ChunkedBinary_Zstd,medium_world,31337,0,verify,28.20,0,1
C_ChunkedBinary_Zstd,medium_world,31337,0,mutate_save_0,10775.87,710151,1
C_ChunkedBinary_Zstd,medium_world,31337,0,delta_load,2285.20,710151,1
D_VersionedChunked_Delta_LZ4,medium_world,31337,0,save,5163.76,705426,1
D_VersionedChunked_Delta_LZ4,medium_world,31337,0,load,2200.50,705426,1
D_VersionedChunked_Delta_LZ4,medium_world,31337,0,verify,36.41,0,1
D_VersionedChunked_Delta_LZ4,medium_world,31337,0,mutate_save_0,7940.16,705426,1
D_VersionedChunked_Delta_LZ4,medium_world,31337,0,delta_load,1814.54,705426,1
E_ContentAddressed_Dedupe,medium_world,31337,0,save,28740.76,52372,1
E_ContentAddressed_Dedupe,medium_world,31337,0,load,8879.12,52372,1
E_ContentAddressed_Dedupe,medium_world,31337,0,verify,33.02,0,1
E_ContentAddressed_Dedupe,medium_world,31337,0,mutate_save_0,3315.28,52372,1
E_ContentAddressed_Dedupe,medium_world,31337,0,delta_load,8974.17,52372,1
A_FullJSON_SingleFile,large_world,1,0,save,41499.27,4198503,1
A_FullJSON_SingleFile,large_world,1,0,load,13044.69,4198503,1
A_FullJSON_SingleFile,large_world,1,0,verify,83.22,0,1
A_FullJSON_SingleFile,large_world,1,0,mutate_save_0,40067.36,4198503,1
A_FullJSON_SingleFile,large_world,1,0,delta_load,8472.89,4198503,1
B_ChunkedBinary_Raw,large_world,1,0,save,3860.05,2930952,1
B_ChunkedBinary_Raw,large_world,1,0,load,1409.30,2930952,1
B_ChunkedBinary_Raw,large_world,1,0,verify,71.59,0,1
B_ChunkedBinary_Raw,large_world,1,0,mutate_save_0,8399.13,2930952,1
B_ChunkedBinary_Raw,large_world,1,0,delta_load,1708.97,2930952,1
C_ChunkedBinary_Zstd,large_world,1,0,save,16533.19,1944473,1
C_ChunkedBinary_Zstd,large_world,1,0,load,5581.11,1944473,1
C_ChunkedBinary_Zstd,large_world,1,0,verify,88.54,0,1
C_ChunkedBinary_Zstd,large_world,1,0,mutate_save_0,21947.91,1944473,1
C_ChunkedBinary_Zstd,large_world,1,0,delta_load,5909.83,1944473,1
D_VersionedChunked_Delta_LZ4,large_world,1,0,save,14877.96,1930104,1
D_VersionedChunked_Delta_LZ4,large_world,1,0,load,5110.29,1930104,1
D_VersionedChunked_Delta_LZ4,large_world,1,0,verify,89.97,0,1
D_VersionedChunked_Delta_LZ4,large_world,1,0,mutate_save_0,20683.32,1930104,1
D_VersionedChunked_Delta_LZ4,large_world,1,0,delta_load,4924.46,1930104,1
E_ContentAddressed_Dedupe,large_world,1,0,save,68750.46,143060,1
E_ContentAddressed_Dedupe,large_world,1,0,load,26821.78,143060,1
E_ContentAddressed_Dedupe,large_world,1,0,verify,163.41,0,1
E_ContentAddressed_Dedupe,large_world,1,0,mutate_save_0,8649.89,143060,1
E_ContentAddressed_Dedupe,large_world,1,0,delta_load,20790.74,143060,1
A_FullJSON_SingleFile,large_world,7,0,save,37590.68,4200924,1
A_FullJSON_SingleFile,large_world,7,0,load,10411.27,4200924,1
A_FullJSON_SingleFile,large_world,7,0,verify,94.88,0,1
A_FullJSON_SingleFile,large_world,7,0,mutate_save_0,45158.72,4200924,1
A_FullJSON_SingleFile,large_world,7,0,delta_load,9920.41,4200924,1
B_ChunkedBinary_Raw,large_world,7,0,save,3391.84,2930952,1
B_ChunkedBinary_Raw,large_world,7,0,load,1374.72,2930952,1
B_ChunkedBinary_Raw,large_world,7,0,verify,77.71,0,1
B_ChunkedBinary_Raw,large_world,7,0,mutate_save_0,7514.98,2930952,1
