shader,toolchain,iter,compile_ms,spv_size_bytes,validation_pass
hzb_cull_minimal.comp,dxc,23,13.007,3320,1
hzb_cull_minimal.comp,dxc,24,12.685,3320,1
hzb_cull_minimal.comp,dxc,25,11.617,3320,1
hzb_cull_minimal.comp,dxc,26,11.629,3320,1
hzb_cull_minimal.comp,dxc,27,12.418,3320,1
hzb_cull_minimal.comp,dxc,28,10.777,3320,1
hzb_cull_minimal.comp,dxc,29,13.243,3320,1
hzb_cull_minimal.comp,dxc,30,11.267,3320,1
fluid_ca_minimal.comp,glslc,1,114.182,5516,1
fluid_ca_minimal.comp,glslc,2,124.517,5516,1
fluid_ca_minimal.comp,glslc,3,116.300,5516,1
fluid_ca_minimal.comp,glslc,4,121.673,5516,1
fluid_ca_minimal.comp,glslc,5,121.046,5516,1
fluid_ca_minimal.comp,glslc,6,122.838,5516,1
fluid_ca_minimal.comp,glslc,7,125.108,5516,1
fluid_ca_minimal.comp,glslc,8,138.465,5516,1
fluid_ca_minimal.comp,glslc,9,123.432,5516,1
fluid_ca_minimal.comp,glslc,10,121.998,5516,1
fluid_ca_minimal.comp,glslc,11,118.632,5516,1
fluid_ca_minimal.comp,glslc,12,139.913,5516,1
fluid_ca_minimal.comp,glslc,13,126.670,5516,1
fluid_ca_minimal.comp,glslc,14,122.153,5516,1
fluid_ca_minimal.comp,glslc,15,121.941,5516,1
fluid_ca_minimal.comp,glslc,16,123.514,5516,1
fluid_ca_minimal.comp,glslc,17,125.213,5516,1
fluid_ca_minimal.comp,glslc,18,121.892,5516,1
fluid_ca_minimal.comp,glslc,19,116.430,5516,1
fluid_ca_minimal.comp,glslc,20,115.527,5516,1
fluid_ca_minimal.comp,glslc,21,119.232,5516,1
fluid_ca_minimal.comp,glslc,22,120.064,5516,1
fluid_ca_minimal.comp,glslc,23,125.242,5516,1
fluid_ca_minimal.comp,glslc,24,120.533,5516,1
fluid_ca_minimal.comp,glslc,25,115.824,5516,1
fluid_ca_minimal.comp,glslc,26,116.061,5516,1
fluid_ca_minimal.comp,glslc,27,125.444,5516,1
fluid_ca_minimal.comp,glslc,28,125.078,5516,1
fluid_ca_minimal.comp,glslc,29,123.990,5516,1
fluid_ca_minimal.comp,glslc,30,127.788,5516,1
fluid_ca_minimal.comp,dxc,1,13.583,3692,1
fluid_ca_minimal.comp,dxc,2,12.838,3692,1
fluid_ca_minimal.comp,dxc,3,13.646,3692,1
fluid_ca_minimal.comp,dxc,4,14.334,3692,1
fluid_ca_minimal.comp,dxc,5,13.100,3692,1
fluid_ca_minimal.comp,dxc,6,12.874,3692,1
fluid_ca_minimal.comp,dxc,7,13.967,3692,1
fluid_ca_minimal.comp,dxc,8,13.142,3692,1
fluid_ca_minimal.comp,dxc,9,13.678,3692,1
fluid_ca_minimal.comp,dxc,10,14.111,3692,1
fluid_ca_minimal.comp,dxc,11,12.908,3692,1
fluid_ca_minimal.comp,dxc,12,12.869,3692,1
fluid_ca_minimal.comp,dxc,13,14.653,3692,1
fluid_ca_minimal.comp,dxc,14,15.648,3692,1
fluid_ca_minimal.comp,dxc,15,14.330,3692,1
fluid_ca_minimal.comp,dxc,16,13.342,3692,1
fluid_ca_minimal.comp,dxc,17,12.286,3692,1
fluid_ca_minimal.comp,dxc,18,14.684,3692,1
fluid_ca_minimal.comp,dxc,19,12.201,3692,1
fluid_ca_minimal.comp,dxc,20,12.907,3692,1
fluid_ca_minimal.comp,dxc,21,12.268,3692,1
fluid_ca_minimal.comp,dxc,22,13.877,3692,1
fluid_ca_minimal.comp,dxc,23,14.121,3692,1
fluid_ca_minimal.comp,dxc,24,14.218,3692,1
fluid_ca_minimal.comp,dxc,25,13.388,3692,1
fluid_ca_minimal.comp,dxc,26,13.230,3692,1
fluid_ca_minimal.comp,dxc,27,11.949,3692,1
fluid_ca_minimal.comp,dxc,28,12.877,3692,1
fluid_ca_minimal.comp,dxc,29,13.019,3692,1
fluid_ca_minimal.comp,dxc,30,14.057,3692,1
