strategy,scene,seed,iter,time_ns,count,components,plausibility
A_UniformRandom,uniform_stone,5,20,4250,54,38,0.0000
A_UniformRandom,uniform_stone,5,21,4220,53,41,0.0000
A_UniformRandom,uniform_stone,5,22,4370,56,39,0.0000
A_UniformRandom,uniform_stone,5,23,4650,65,47,0.0000
A_UniformRandom,uniform_stone,5,24,4620,64,47,0.0000
A_UniformRandom,uniform_stone,5,25,4190,54,45,0.0000
A_UniformRandom,uniform_stone,5,26,4630,63,35,0.0000
A_UniformRandom,uniform_stone,5,27,4540,62,41,0.0000
A_UniformRandom,uniform_stone,5,28,4370,56,38,0.0000
A_UniformRandom,uniform_stone,5,29,4800,65,36,0.0000
A_UniformRandom,uniform_stone,5,30,4320,57,42,0.0000
A_UniformRandom,uniform_stone,5,31,4410,59,40,0.0000
A_UniformRandom,uniform_stone,5,32,4220,50,34,0.0000
A_UniformRandom,uniform_stone,5,33,4290,56,40,0.0000
A_UniformRandom,uniform_stone,5,34,4820,67,41,0.0000
A_UniformRandom,uniform_stone,5,35,4500,64,50,0.0000
A_UniformRandom,uniform_stone,5,36,4590,63,44,0.0000
A_UniformRandom,uniform_stone,5,37,4120,47,35,0.0000
A_UniformRandom,uniform_stone,5,38,4620,63,42,0.0000
A_UniformRandom,uniform_stone,5,39,4230,56,43,0.0000
A_UniformRandom,uniform_stone,5,40,4670,64,40,0.0000
A_UniformRandom,uniform_stone,5,41,4010,49,42,0.0000
A_UniformRandom,uniform_stone,5,42,4670,66,44,0.0000
A_UniformRandom,uniform_stone,5,43,4740,68,43,0.0000
A_UniformRandom,uniform_stone,5,44,4510,62,42,0.0000
A_UniformRandom,uniform_stone,5,45,4910,69,41,0.0000
A_UniformRandom,uniform_stone,5,46,4170,52,43,0.0000
A_UniformRandom,uniform_stone,5,47,4150,55,47,0.0000
A_UniformRandom,uniform_stone,5,48,4860,71,44,0.0000
A_UniformRandom,uniform_stone,5,49,5110,73,43,0.0000
A_UniformRandom,stratified_3layer,1,0,4690,63,41,0.0000
A_UniformRandom,stratified_3layer,1,1,5650,86,44,0.0000
A_UniformRandom,stratified_3layer,1,2,4750,68,46,0.0000
A_UniformRandom,stratified_3layer,1,3,4410,61,45,0.0000
A_UniformRandom,stratified_3layer,1,4,4440,61,43,0.0000
A_UniformRandom,stratified_3layer,1,5,4460,62,43,0.0000
A_UniformRandom,stratified_3layer,1,6,5180,75,40,0.0000
A_UniformRandom,stratified_3layer,1,7,4720,65,38,0.0000
A_UniformRandom,stratified_3layer,1,8,4890,68,38,0.0000
A_UniformRandom,stratified_3layer,1,9,3990,49,39,0.0000
A_UniformRandom,stratified_3layer,1,10,4410,59,38,0.0000
A_UniformRandom,stratified_3layer,1,11,4760,65,46,0.0000
A_UniformRandom,stratified_3layer,1,12,5130,74,42,0.0000
A_UniformRandom,stratified_3layer,1,13,4600,64,44,0.0000
A_UniformRandom,stratified_3layer,1,14,4210,55,41,0.0000
A_UniformRandom,stratified_3layer,1,15,4460,60,36,0.0000
A_UniformRandom,stratified_3layer,1,16,4340,60,47,0.0000
A_UniformRandom,stratified_3layer,1,17,4650,65,45,0.0000
A_UniformRandom,stratified_3layer,1,18,4180,53,45,0.0000
A_UniformRandom,stratified_3layer,1,19,4420,57,42,0.0000
A_UniformRandom,stratified_3layer,1,20,4390,59,42,0.0000
A_UniformRandom,stratified_3layer,1,21,4570,64,46,0.0000
A_UniformRandom,stratified_3layer,1,22,4660,65,44,0.0000
A_UniformRandom,stratified_3layer,1,23,5080,75,46,0.0000
A_UniformRandom,stratified_3layer,1,24,4270,57,43,0.0000
A_UniformRandom,stratified_3layer,1,25,4730,67,49,0.0000
A_UniformRandom,stratified_3layer,1,26,4510,64,46,0.0000
A_UniformRandom,stratified_3layer,1,27,4600,62,40,0.0000
A_UniformRandom,stratified_3layer,1,28,4370,59,47,0.0000
A_UniformRandom,stratified_3layer,1,29,4820,70,46,0.0000
A_UniformRandom,stratified_3layer,1,30,4700,67,50,0.0000
A_UniformRandom,stratified_3layer,1,31,4600,64,44,0.0000
A_UniformRandom,stratified_3layer,1,32,3880,43,33,0.0000
A_UniformRandom,stratified_3layer,1,33,4680,65,39,0.0000
A_UniformRandom,stratified_3layer,1,34,4650,66,46,0.0000
A_UniformRandom,stratified_3layer,1,35,5030,75,46,0.0000
A_UniformRandom,stratified_3layer,1,36,4770,70,46,0.0000
A_UniformRandom,stratified_3layer,1,37,4350,57,41,0.0000
A_UniformRandom,stratified_3layer,1,38,4320,55,42,0.0000
A_UniformRandom,stratified_3layer,1,39,4070,50,40,0.0000
A_UniformRandom,stratified_3layer,1,40,4570,64,44,0.0000
A_UniformRandom,stratified_3layer,1,41,4450,60,44,0.0000
A_UniformRandom,stratified_3layer,1,42,4610,64,44,0.0000
A_UniformRandom,stratified_3layer,1,43,72579,68,41,0.0000
A_UniformRandom,stratified_3layer,1,44,4770,62,43,0.0000
A_UniformRandom,stratified_3layer,1,45,4790,67,40,0.0000
A_UniformRandom,stratified_3layer,1,46,55180,54,42,0.0000
A_UniformRandom,stratified_3layer,1,47,4350,49,41,0.0000
A_UniformRandom,stratified_3layer,1,48,4530,57,42,0.0000
A_UniformRandom,stratified_3layer,1,49,4940,67,42,0.0000
A_UniformRandom,stratified_3layer,2,0,4310,55,39,0.0000
A_UniformRandom,stratified_3layer,2,1,4040,45,37,0.0000
A_UniformRandom,stratified_3layer,2,2,4290,52,39,0.0000
A_UniformRandom,stratified_3layer,2,3,4200,51,37,0.0000
A_UniformRandom,stratified_3layer,2,4,4790,69,49,0.0000
A_UniformRandom,stratified_3layer,2,5,4870,69,43,0.0000
A_UniformRandom,stratified_3layer,2,6,4390,60,46,0.0000
A_UniformRandom,stratified_3layer,2,7,4580,63,48,0.0000
A_UniformRandom,stratified_3layer,2,8,4320,55,39,0.0000
A_UniformRandom,stratified_3layer,2,9,4750,70,48,0.0000
A_UniformRandom,stratified_3layer,2,10,5790,54,43,0.0000
